Locus_tag	Orig_Location	Orig_Num_Transcripts	Contig:start-end	Strand	Gene_Length	Num_Transcripts	mRNA_AED	CDS_AED	Description
I1I15_001036	contig1:2944540-2946956	1	contig1:2944391-2947020	-	2629	3	0.015	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001037	contig1:2947331-2948713	1	contig1:2947014-2948970	+	1956	1	0.147	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001038	contig1:2949679-2950094	1	contig1:2949679-2950094	+	415	1	0.000	0.000	no change
I1I15_001039	contig1:2950748-2952303	1	contig1:2950748-2952303	+	1555	1	0.000	0.000	no change
I1I15_001040	contig1:2953206-2954360	1	contig1:2953206-2954360	+	1154	1	0.000	0.000	no change
I1I15_001041	contig1:2959376-2962459	1	contig1:2959152-2962459	-	3307	1	0.035	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_001042	contig1:2965317-2965646	1	contig1:2965317-2965646	-	329	1	0.000	0.000	no change
I1I15_001043	contig1:2967508-2971059	1	contig1:2967508-2971059	+	3551	1	0.000	0.000	no change
I1I15_001044	contig1:2971942-2973294	1	contig1:2971942-2973294	+	1352	1	0.000	0.000	no change
I1I15_001045	contig1:2973486-2974591	1	contig1:2973486-2974591	-	1105	1	0.000	0.000	no change
I1I15_001046	contig1:2977542-2979280	1	contig1:2977542-2979280	+	1738	1	0.000	0.000	no change
I1I15_001047	contig1:2983132-2985111	1	contig1:2983132-2985111	-	1979	1	0.000	0.000	no change
I1I15_001048	contig1:2986562-2987091	1	contig1:2986562-2987091	+	529	1	0.000	0.000	no change
I1I15_001049	contig1:2988783-2991838	1	contig1:2988783-2991838	+	3055	1	0.000	0.000	no change
I1I15_001050	contig1:2992566-2995301	1	contig1:2992566-2995301	+	2735	1	0.000	0.000	no change
I1I15_001051	contig1:2996390-2997564	1	contig1:2996390-2997564	-	1174	1	0.000	0.000	no change
I1I15_001052	contig1:2997815-3000048	1	contig1:2997815-3000048	+	2233	1	0.000	0.000	no change
I1I15_001053	contig1:3002610-3005750	1	contig1:3002610-3005812	-	3202	1	0.010	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001054	contig1:3006652-3007356	1	contig1:3006652-3007356	-	704	1	0.000	0.000	no change
I1I15_001055	contig1:3007720-3010424	1	contig1:3007720-3010424	+	2704	1	0.000	0.000	no change
I1I15_001056	contig1:3010608-3011836	1	contig1:3010608-3011836	-	1228	1	0.000	0.000	no change
I1I15_001057	contig1:3012266-3013781	1	contig1:3011964-3013932	-	1968	1	0.126	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001058	contig1:3014029-3015772	1	contig1:3013920-3015985	-	2065	1	0.081	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001059	contig1:3016193-3017500	1	contig1:3016193-3017500	-	1307	1	0.000	0.000	no change
I1I15_001060	contig1:3018077-3019424	1	contig1:3018077-3019424	-	1347	1	0.000	0.000	no change
I1I15_001061	contig1:3019695-3021420	1	contig1:3019695-3021420	+	1725	1	0.000	0.000	no change
I1I15_001062	contig1:3021834-3024938	1	contig1:3021834-3024938	-	3104	1	0.000	0.000	no change
I1I15_001063	contig1:3025515-3026457	1	contig1:3025515-3026457	+	942	1	0.000	0.000	no change
I1I15_001064	contig1:3027155-3028233	1	contig1:3026316-3028317	-	2001	1	0.252	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001065	contig1:3029837-3031195	1	contig1:3029837-3031822	-	1985	1	0.111	0.109	gene coordinates updated;5prime UTR added;mRNA updated;CDS update [translation pident: 78%]
I1I15_001066	contig1:3034292-3037720	1	contig1:3034292-3037720	-	3428	1	0.000	0.000	no change
I1I15_001067	contig1:3037910-3038657	1	contig1:3037910-3038657	-	747	1	0.000	0.000	no change
I1I15_001068	contig1:3038716-3039012	1	contig1:3038716-3039012	-	296	1	0.000	0.000	no change
I1I15_001069	contig1:3043093-3047446	1	contig1:3043093-3047446	+	4353	1	0.000	0.000	no change
I1I15_001070	contig1:3048453-3050342	1	contig1:3048453-3051026	-	2573	1	0.093	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001071	contig1:3051368-3051901	1	contig1:3051195-3052112	-	917	1	0.224	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001072	contig1:3053403-3056051	1	contig1:3053403-3056051	+	2648	1	0.000	0.000	no change
I1I15_001073	contig1:3056591-3057545	1	contig1:3056591-3057545	+	954	1	0.000	0.000	no change
I1I15_001074	contig1:3057926-3059534	1	contig1:3057926-3059534	-	1608	1	0.000	0.000	no change
I1I15_001075	contig1:3060394-3060789	1	contig1:3060394-3060789	-	395	1	0.000	0.000	no change
I1I15_001076	contig1:3064630-3065293	1	contig1:3064630-3065293	-	663	1	0.000	0.000	no change
I1I15_001077	contig1:3066297-3068603	1	contig1:3066297-3068603	+	2306	1	0.000	0.000	no change
I1I15_001078	contig1:3069833-3070645	1	contig1:3069833-3070645	-	812	1	0.000	0.000	no change
I1I15_001079	contig1:3071310-3071912	1	contig1:3071310-3072065	-	755	1	0.101	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001080	contig1:3074747-3076111	1	contig1:3074747-3076265	+	1518	1	0.051	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_001081	contig1:3077113-3077751	1	contig1:3077113-3077751	+	638	1	0.000	0.000	no change
I1I15_001082	contig1:3081890-3083352	1	contig1:3081890-3083352	+	1462	1	0.000	0.000	no change
I1I15_001083	contig1:3084206-3088928	1	contig1:3083988-3089158	+	5170	1	0.045	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001084	contig1:3089273-3091993	1	contig1:3089153-3092453	-	3300	1	0.088	0.069	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 86%]
I1I15_001085	contig1:3093143-3093979	1	contig1:3093143-3093979	-	836	1	0.000	0.000	no change
I1I15_001086	contig1:3094493-3096472	1	contig1:3094361-3096909	+	2548	1	0.126	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001087	contig1:3097366-3098309	1	contig1:3097366-3098309	-	943	1	0.000	0.000	no change
I1I15_001088	contig1:3098515-3098694	1	contig1:3098515-3098694	-	179	1	0.000	0.000	no change
I1I15_001089	contig1:3099083-3100299	1	contig1:3098645-3100351	+	1706	1	0.171	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001090	contig1:3100605-3103181	1	contig1:3100539-3103289	+	2750	1	0.032	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001091	contig1:3103860-3104439	1	contig1:3103339-3104650	-	1311	1	0.295	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001092	contig1:3104722-3105247	1	contig1:3104722-3105247	+	525	1	0.000	0.000	no change
I1I15_001093	contig1:3106129-3106587	1	contig1:3106063-3106610	+	547	1	0.104	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001094	contig1:3107197-3108679	1	contig1:3107197-3108679	+	1482	1	0.000	0.000	no change
I1I15_001095	contig1:3109056-3113727	1	contig1:3109056-3113727	-	4671	1	0.000	0.000	no change
I1I15_001096	contig1:3115401-3116993	1	contig1:3115401-3116993	+	1592	1	0.000	0.000	no change
I1I15_001097	contig1:3117630-3118661	1	contig1:3117630-3118661	-	1031	1	0.000	0.000	no change
I1I15_001098	contig1:3118910-3119749	1	contig1:3118910-3119749	+	839	1	0.000	0.000	no change
I1I15_001099	contig1:3120352-3124641	1	contig1:3120352-3124641	-	4289	1	0.000	0.000	no change
I1I15_001100	contig1:3125959-3126959	1	contig1:3125959-3126959	-	1000	1	0.000	0.000	no change
I1I15_001101	contig1:3127408-3130137	1	contig1:3127408-3130137	+	2729	1	0.000	0.000	no change
I1I15_001102	contig1:3130785-3132646	1	contig1:3130785-3132646	+	1861	1	0.000	0.000	no change
I1I15_001103	contig1:3132854-3134953	1	contig1:3132854-3134953	-	2099	1	0.000	0.000	no change
I1I15_001104	contig1:3136020-3137602	1	contig1:3136020-3137602	-	1582	1	0.000	0.000	no change
I1I15_001105	contig1:3139488-3139736	1	contig1:3139488-3139736	+	248	1	0.000	0.000	no change
I1I15_001106	contig1:3144946-3149484	1	contig1:3144946-3149484	-	4538	1	0.000	0.000	no change
I1I15_001107	contig1:3149810-3150858	1	contig1:3149810-3150858	+	1048	1	0.000	0.000	no change
I1I15_001108	contig1:3151373-3153223	1	contig1:3151373-3153223	+	1850	1	0.000	0.000	no change
I1I15_001109	contig1:3153594-3154133	1	contig1:3153594-3154133	-	539	1	0.000	0.000	no change
I1I15_001110	contig1:3154626-3156749	1	contig1:3154626-3156749	+	2123	1	0.000	0.000	no change
I1I15_001111	contig1:3157244-3159001	1	contig1:3157244-3159001	-	1757	1	0.000	0.000	no change
I1I15_001112	contig1:3159316-3161707	1	contig1:3159316-3161707	+	2391	1	0.000	0.000	no change
I1I15_001113	contig1:3162193-3162393	1	contig1:3162193-3162393	+	200	1	0.000	0.000	no change
I1I15_001114	contig1:3162449-3163150	1	contig1:3162449-3163150	+	701	1	0.000	0.000	no change
I1I15_001115	contig1:3163719-3165537	1	contig1:3163719-3165537	-	1818	1	0.000	0.000	no change
I1I15_001116	contig1:3167791-3168423	1	contig1:3167791-3168423	+	632	1	0.000	0.000	no change
I1I15_001117	contig1:3170396-3170632	1	contig1:3170243-3170632	+	389	1	0.197	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001118	contig1:3171412-3171867	1	contig1:3171412-3171867	+	455	1	0.000	0.000	no change
I1I15_001119	contig1:3172048-3172479	1	contig1:3172048-3172479	+	431	1	0.000	0.000	no change
I1I15_001120	contig1:3172739-3173430	1	contig1:3172739-3173430	+	691	1	0.000	0.000	no change
I1I15_001121	contig1:3173673-3174374	1	contig1:3173673-3174374	-	701	1	0.000	0.000	no change
I1I15_001122	contig1:3175626-3176650	1	contig1:3175626-3176650	-	1024	1	0.000	0.000	no change
I1I15_001123	contig1:3179718-3181745	1	contig1:3179718-3181745	-	2027	1	0.000	0.000	no change
I1I15_001124	contig1:3182479-3183337	1	contig1:3182479-3183337	+	858	1	0.000	0.000	no change
I1I15_001125	contig1:3183732-3185141	1	contig1:3183732-3185141	+	1409	1	0.000	0.000	no change
I1I15_001126	contig1:3186169-3187555	1	contig1:3186169-3187555	+	1386	1	0.000	0.000	no change
I1I15_001127	contig1:3187700-3189154	1	contig1:3187700-3189154	-	1454	1	0.000	0.000	no change
I1I15_001128	contig1:3189496-3191003	1	contig1:3189496-3191003	-	1507	1	0.000	0.000	no change
I1I15_001129	contig1:3191477-3193183	1	contig1:3191477-3193183	+	1706	1	0.000	0.000	no change
I1I15_001130	contig1:3193786-3194285	1	contig1:3193786-3194285	-	499	1	0.000	0.000	no change
I1I15_001131	contig1:3194676-3197535	1	contig1:3194676-3197535	+	2859	1	0.000	0.000	no change
I1I15_001132	contig1:3198036-3198742	1	contig1:3198036-3198742	+	706	1	0.000	0.000	no change
I1I15_001133	contig1:3198949-3200391	1	contig1:3198949-3200391	-	1442	1	0.000	0.000	no change
I1I15_001134	contig1:3201756-3205548	1	contig1:3201756-3205548	-	3792	1	0.000	0.000	no change
I1I15_001135	contig1:3206407-3207564	1	contig1:3206407-3207564	-	1157	1	0.000	0.000	no change
I1I15_001136	contig1:3208564-3209444	1	contig1:3208564-3209444	-	880	1	0.000	0.000	no change
I1I15_001137	contig1:3209994-3210821	1	contig1:3209994-3210821	+	827	1	0.000	0.000	no change
I1I15_001138	contig1:3211489-3211871	1	contig1:3211489-3211871	-	382	1	0.000	0.000	no change
I1I15_001139	contig1:3213397-3214547	1	contig1:3213397-3214547	-	1150	1	0.000	0.000	no change
I1I15_001140	contig1:3216678-3220976	1	contig1:3216678-3220976	+	4298	1	0.000	0.000	no change
I1I15_001141	contig1:3221529-3222351	1	contig1:3221529-3222351	-	822	1	0.000	0.000	no change
I1I15_001142	contig1:3223389-3223793	1	contig1:3223389-3223793	+	404	1	0.000	0.000	no change
I1I15_001143	contig1:3225108-3226292	1	contig1:3224583-3226422	-	1839	1	0.178	0.036	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 93%]
I1I15_001144	contig1:3226603-3226977	1	contig1:3226389-3227226	-	837	1	0.234	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001145	contig1:3229665-3231323	1	contig1:3229665-3231323	+	1658	1	0.000	0.000	no change
I1I15_001146	contig1:3232428-3233546	1	contig1:3232428-3233546	+	1118	1	0.000	0.000	no change
I1I15_001147	contig1:3234116-3235681	1	contig1:3234116-3235681	+	1565	1	0.000	0.000	no change
I1I15_001148	contig1:3235819-3239695	1	contig1:3235819-3239695	-	3876	1	0.000	0.000	no change
I1I15_001149	contig1:3240380-3242086	1	contig1:3240380-3242086	-	1706	1	0.000	0.000	no change
I1I15_001150	contig1:3242228-3242455	1	contig1:3242228-3242455	-	227	1	0.000	0.000	no change
I1I15_001151	contig1:3243063-3243836	1	contig1:3243063-3243836	+	773	1	0.000	0.000	no change
I1I15_001152	contig1:3244095-3244779	1	contig1:3244095-3244779	-	684	1	0.000	0.000	no change
I1I15_001153	contig1:3245467-3245778	1	contig1:3245467-3245778	+	311	1	0.000	0.000	no change
I1I15_001154	contig1:3246941-3249877	1	contig1:3246941-3249877	+	2936	1	0.000	0.000	no change
I1I15_001155	contig1:3250216-3250286	1	contig1:3250216-3250286	+	70	1	0.000	0.000	no change
I1I15_001156	contig1:3250582-3251432	1	contig1:3250582-3251432	-	850	1	0.000	0.000	no change
I1I15_001157	contig1:3254392-3256236	1	contig1:3254392-3256236	+	1844	1	0.000	0.000	no change
I1I15_001158	contig1:3256886-3259613	1	contig1:3256409-3259718	-	3309	1	0.088	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001159	contig1:3260493-3261352	1	contig1:3260493-3261352	-	859	1	0.000	0.000	no change
I1I15_001160	contig1:3262679-3264115	1	contig1:3262679-3264115	-	1436	1	0.000	0.000	no change
I1I15_001161	contig1:3264520-3266172	1	contig1:3264520-3266172	-	1652	1	0.000	0.000	no change
I1I15_001162	contig1:3266852-3268440	1	contig1:3266852-3268440	+	1588	1	0.000	0.000	no change
I1I15_001163	contig1:3268951-3269943	1	contig1:3268951-3269943	+	992	1	0.000	0.000	no change
I1I15_001164	contig1:3270380-3270763	1	contig1:3270380-3270763	-	383	1	0.000	0.000	no change
I1I15_001165	contig1:3272181-3272760	1	contig1:3271827-3272868	+	1041	1	0.240	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001166	contig1:3273337-3274772	1	contig1:3273337-3274772	+	1435	1	0.000	0.000	no change
I1I15_001167	contig1:3276266-3277252	1	contig1:3276266-3277252	-	986	1	0.000	0.000	no change
I1I15_001168	contig1:3277657-3277739	1	contig1:3277657-3277739	+	82	1	0.000	0.000	no change
I1I15_001169	contig1:3277947-3278041	1	contig1:3277947-3278041	-	94	1	0.000	0.000	no change
I1I15_001170	contig1:3279255-3280373	1	contig1:3279255-3280373	+	1118	1	0.000	0.000	no change
I1I15_001171	contig1:3280508-3281683	1	contig1:3280508-3281683	-	1175	1	0.000	0.000	no change
I1I15_001172	contig1:3282377-3283211	1	contig1:3282377-3283211	+	834	1	0.000	0.000	no change
I1I15_001173	contig1:3283668-3284269	1	contig1:3283668-3284269	-	601	1	0.000	0.000	no change
I1I15_001174	contig1:3285440-3286231	1	contig1:3285440-3286231	+	791	1	0.000	0.000	no change
I1I15_001175	contig1:3288127-3289311	1	contig1:3287108-3289426	+	2318	1	0.245	0.210	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 58%]
I1I15_001176	contig1:3291314-3292934	1	contig1:3291174-3293415	+	2241	1	0.152	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001177	contig1:3294915-3296451	1	contig1:3294915-3296451	+	1536	1	0.000	0.000	no change
I1I15_001178	contig1:3296695-3298447	1	contig1:3296695-3298447	-	1752	1	0.000	0.000	no change
I1I15_001179	contig1:3299276-3305594	1	contig1:3299162-3305594	+	6432	1	0.009	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001180	contig1:3306230-3306511	1	contig1:3306230-3306511	+	281	1	0.000	0.000	no change
I1I15_001181	contig1:3306834-3308156	1	contig1:3306834-3308156	-	1322	1	0.000	0.000	no change
I1I15_001182	contig1:3309170-3311457	1	contig1:3309170-3311457	-	2287	1	0.000	0.000	no change
I1I15_001183	contig1:3313177-3314213	1	contig1:3313177-3314213	-	1036	1	0.000	0.000	no change
I1I15_001184	contig1:3315245-3316750	1	contig1:3315245-3316750	+	1505	1	0.000	0.000	no change
I1I15_001185	contig1:3317482-3320712	1	contig1:3317482-3320712	-	3230	1	0.000	0.000	no change
I1I15_001186	contig1:3321928-3323632	1	contig1:3321928-3323632	-	1704	1	0.000	0.000	no change
I1I15_001187	contig1:3325066-3326990	1	contig1:3325066-3326990	+	1924	1	0.000	0.000	no change
I1I15_001188	contig1:3327076-3328155	1	contig1:3327076-3328155	-	1079	1	0.000	0.000	no change
I1I15_001189	contig1:3329243-3330707	1	contig1:3329243-3330707	-	1464	1	0.000	0.000	no change
I1I15_001190	contig1:3331246-3332307	1	contig1:3331246-3332307	+	1061	1	0.000	0.000	no change
I1I15_001191	contig1:3332909-3333112	1	contig1:3332909-3333112	+	203	1	0.000	0.000	no change
I1I15_001192	contig1:3333278-3333646	1	contig1:3333278-3333646	+	368	1	0.000	0.000	no change
I1I15_001193	contig1:3335111-3335788	1	contig1:3334312-3335788	+	1476	1	0.259	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001194	contig1:3336500-3336998	1	contig1:3336500-3336998	-	498	1	0.000	0.000	no change
I1I15_001195	contig1:3337176-3338796	1	contig1:3337176-3338796	-	1620	1	0.000	0.000	no change
I1I15_001196	contig1:3339409-3340279	1	contig1:3339409-3340279	-	870	1	0.000	0.000	no change
I1I15_001197	contig1:3341109-3342573	1	contig1:3341109-3342573	-	1464	1	0.000	0.000	no change
I1I15_001198	contig1:3343570-3344232	1	contig1:3343491-3344589	-	1098	1	0.199	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001199	contig1:3347047-3349593	1	contig1:3347047-3349593	-	2546	1	0.000	0.000	no change
I1I15_001200	contig1:3351843-3352693	1	contig1:3351843-3352693	+	850	1	0.000	0.000	no change
I1I15_001201	contig1:3353515-3354021	1	contig1:3353515-3354021	+	506	1	0.000	0.000	no change
I1I15_001202	contig1:3354264-3355886	1	contig1:3354264-3355886	-	1622	1	0.000	0.000	no change
I1I15_001203	contig1:3356613-3357514	1	contig1:3356613-3357514	-	901	1	0.000	0.000	no change
I1I15_001204	contig1:3359388-3362429	1	contig1:3359022-3362429	+	3407	1	0.055	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001205	contig1:3363671-3364600	1	contig1:3363671-3364600	+	929	1	0.000	0.000	no change
I1I15_001206	contig1:3364870-3365726	1	contig1:3364870-3365726	-	856	1	0.000	0.000	no change
I1I15_001207	contig1:3366752-3370813	1	contig1:3366752-3370813	-	4061	1	0.000	0.000	no change
I1I15_001208	contig1:3372418-3373553	1	contig1:3372418-3373553	+	1135	1	0.000	0.000	no change
I1I15_001209	contig1:3374073-3375566	1	contig1:3374073-3375566	-	1493	1	0.000	0.000	no change
I1I15_001210	contig1:3376003-3377727	1	contig1:3375834-3378009	-	2175	1	0.107	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001211	contig1:3378959-3380449	1	contig1:3378801-3380502	+	1701	1	0.062	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001212	contig1:3381237-3383214	1	contig1:3381237-3383214	+	1977	1	0.000	0.000	no change
I1I15_001213	contig1:3383760-3385006	1	contig1:3383760-3385006	-	1246	1	0.000	0.000	no change
I1I15_001214	contig1:3386337-3387056	1	contig1:3385646-3387092	-	1446	1	0.261	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001215	contig1:3387496-3389302	1	contig1:3387496-3389302	+	1806	1	0.000	0.000	no change
I1I15_001216	contig1:3390050-3392012	1	contig1:3389737-3392385	-	2648	2	0.075	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001217	contig1:3392548-3393529	1	contig1:3392548-3393529	+	981	1	0.000	0.000	no change
I1I15_001218	contig1:3393899-3395316	1	contig1:3392581-3395550	-	2969	1	0.290	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001219	contig1:3396294-3396803	1	contig1:3396294-3396803	+	509	1	0.000	0.000	no change
I1I15_001220	contig1:3396905-3397867	1	contig1:3396905-3397867	+	962	1	0.000	0.000	no change
I1I15_001221	contig1:3398325-3398651	1	contig1:3398325-3398887	+	562	1	0.210	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_001222	contig1:3399719-3403503	1	contig1:3399719-3403503	-	3784	1	0.000	0.000	no change
I1I15_001223	contig1:3406166-3407579	1	contig1:3406166-3407579	+	1413	1	0.000	0.000	no change
I1I15_001224	contig1:3409552-3410703	1	contig1:3409552-3410703	-	1151	1	0.000	0.000	no change
I1I15_001225	contig1:3412295-3413541	1	contig1:3412295-3413541	+	1246	1	0.000	0.000	no change
I1I15_001226	contig1:3413899-3415491	1	contig1:3413754-3415697	+	1943	1	0.090	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001227	contig1:3417541-3418120	1	contig1:3417541-3418120	+	579	1	0.000	0.000	no change
I1I15_001228	contig1:3418740-3420692	1	contig1:3418740-3420692	-	1952	1	0.000	0.000	no change
I1I15_001229	contig1:3422033-3423801	1	contig1:3422033-3423801	+	1768	1	0.000	0.000	no change
I1I15_001230	contig1:3425503-3427153	1	contig1:3425503-3427153	+	1650	1	0.000	0.000	no change
I1I15_001231	contig1:3427641-3428963	1	contig1:3427641-3428963	+	1322	1	0.000	0.000	no change
I1I15_001232	contig1:3432959-3434379	1	contig1:3432959-3434379	+	1420	1	0.000	0.000	no change
I1I15_001233	contig1:3434855-3436886	1	contig1:3434855-3436886	-	2031	1	0.000	0.000	no change
I1I15_001234	contig1:3437712-3438459	1	contig1:3437712-3438459	-	747	1	0.000	0.000	no change
I1I15_001235	contig1:3440627-3441525	1	contig1:3440627-3441525	+	898	1	0.000	0.000	no change
I1I15_001236	contig1:3441809-3442711	1	contig1:3441809-3442711	-	902	1	0.000	0.000	no change
I1I15_001237	contig1:3443355-3444822	1	contig1:3443355-3444822	-	1467	1	0.000	0.000	no change
I1I15_001238	contig1:3445256-3448020	1	contig1:3445256-3448236	+	2980	1	0.037	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_001239	contig1:3448373-3450156	1	contig1:3448373-3450156	-	1783	1	0.000	0.000	no change
I1I15_001240	contig1:3450278-3450715	1	contig1:3450278-3450715	-	437	1	0.000	0.000	no change
I1I15_001241	contig1:3451044-3452834	1	contig1:3451044-3452834	-	1790	1	0.000	0.000	no change
I1I15_001242	contig1:3454243-3455316	1	contig1:3454243-3455316	+	1073	1	0.000	0.000	no change
I1I15_001243	contig1:3455549-3456405	1	contig1:3455549-3456405	-	856	1	0.000	0.000	no change
I1I15_001244	contig1:3457069-3464543	1	contig1:3457069-3464778	-	7709	1	0.016	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001245	contig1:3465366-3466046	1	contig1:3465366-3466046	+	680	1	0.000	0.000	no change
I1I15_001246	contig1:3466060-3469406	1	contig1:3466060-3469406	+	3346	1	0.000	0.000	no change
I1I15_001247	contig1:3475975-3476421	1	contig1:3475975-3476421	-	446	1	0.000	0.000	no change
I1I15_001248	contig1:3479020-3480584	1	contig1:3478725-3481053	+	2328	1	0.182	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001249	contig1:3484265-3484609	1	contig1:3484265-3484609	-	344	1	0.000	0.000	no change
I1I15_001250	contig1:3485530-3487556	1	contig1:3485530-3487556	+	2026	1	0.000	0.000	no change
I1I15_001251	contig1:3501524-3505401	1	contig1:3501524-3505401	+	3877	1	0.000	0.000	no change
I1I15_001252	contig1:3506754-3508411	1	contig1:3506754-3508411	-	1657	1	0.000	0.000	no change
I1I15_001253	contig1:3508869-3510464	1	contig1:3508869-3510464	-	1595	1	0.000	0.000	no change
I1I15_001254	contig1:3511260-3512299	1	contig1:3511260-3512299	-	1039	1	0.000	0.000	no change
I1I15_001255	contig1:3515077-3515700	1	contig1:3515028-3515700	+	672	1	0.036	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001256	contig1:3518599-3520723	1	contig1:3518599-3520723	+	2124	1	0.000	0.000	no change
I1I15_001257	contig1:3521276-3522162	1	contig1:3521276-3522162	-	886	1	0.000	0.000	no change
I1I15_001258	contig1:3523306-3524169	1	contig1:3523306-3524169	+	863	1	0.000	0.000	no change
I1I15_001259	contig1:3524513-3525691	1	contig1:3524513-3525691	-	1178	1	0.000	0.000	no change
I1I15_001260	contig1:3526498-3530456	1	contig1:3526498-3530456	+	3958	1	0.000	0.000	no change
I1I15_001261	contig1:3534217-3534909	1	contig1:3534217-3534909	+	692	1	0.000	0.000	no change
I1I15_001262	contig1:3535857-3535928	1	contig1:3535857-3535928	-	71	1	0.000	0.000	no change
I1I15_001263	contig1:3537738-3538971	1	contig1:3537738-3538971	-	1233	1	0.000	0.000	no change
I1I15_001264	contig1:3539361-3539975	1	contig1:3539361-3539975	-	614	1	0.000	0.000	no change
I1I15_001265	contig1:3542514-3544406	1	contig1:3541693-3545566	+	3873	2	0.129	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001266	contig1:3546005-3546661	1	contig1:3545549-3546661	+	1112	1	0.205	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_001267	contig1:3547029-3548554	1	contig1:3547029-3548554	-	1525	1	0.000	0.000	no change
I1I15_001268	contig1:3552931-3554256	1	contig1:3552931-3554256	-	1325	1	0.000	0.000	no change
I1I15_001269	contig1:3556614-3559115	1	contig1:3556614-3559115	-	2501	1	0.000	0.000	no change
I1I15_001270	contig1:3559621-3560821	1	contig1:3559621-3560821	+	1200	1	0.000	0.000	no change
I1I15_001271	contig1:3560929-3562503	1	contig1:3560929-3562503	-	1574	1	0.000	0.000	no change
I1I15_001272	contig1:3562860-3564749	1	contig1:3562860-3564749	+	1889	1	0.000	0.000	no change
I1I15_001273	contig1:3565771-3566190	1	contig1:3565771-3566190	-	419	1	0.000	0.000	no change
I1I15_001274	contig1:3569360-3570859	1	contig1:3569004-3571082	-	2078	1	0.145	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_001275	contig1:3571400-3571759	1	contig1:3571400-3571759	+	359	1	0.000	0.000	no change
I1I15_001276	contig1:3572119-3573673	1	contig1:3572119-3573673	-	1554	1	0.000	0.000	no change
I1I15_001277	contig1:3574132-3574464	1	contig1:3574132-3574464	+	332	1	0.000	0.000	no change
I1I15_001278	contig1:3574833-3575924	1	contig1:3574833-3575924	-	1091	1	0.000	0.000	no change
I1I15_001279	contig1:3577597-3578627	1	contig1:3577597-3578627	-	1030	1	0.000	0.000	no change
I1I15_001280	contig1:3582773-3584974	1	contig1:3582773-3584974	+	2201	1	0.000	0.000	no change
I1I15_001281	contig1:3585987-3588017	1	contig1:3585987-3588017	+	2030	1	0.000	0.000	no change
